"statni_zkouska_id";"zaverecna_prace_id";"studium_id";"cislo_terminu";"typ_szzk";"uzavreno";"datum_prihlaseni";"datum_absolvovani";"celkove_hodnoceni";"poznamka"
"587865420505";"";"6291706";"1";"SZZ";"";"";"";"";""
"587865420605";"";"6291806";"1";"SZZ";"";"";"";"";""
"587865422905";"610259251605";"6291906";"1";"SZZ";"A";"2015-05-20";"2015-06-16";"1.5";""
"587865423005";"633212396105";"6292106";"1";"SZZ";"A";"2015-05-20";"2015-06-22";"2.5";""
"587865423105";"610258991405";"6292506";"1";"SZZ";"A";"2015-05-20";"2015-06-16";"1";""
"587865423205";"636151054205";"6292906";"1";"SZZ";"";"2017-01-04";"2017-02-08";"4";""
"587865423305";"629274077605";"6293206";"1";"SZZ1";"A";"2016-05-17";"2016-06-22";"4";""
"763431759205";"629274077605";"6293206";"2";"SZZ";"A";"2016-08-08";"2016-08-30";"1.5";""
"587865423405";"728481368505";"6293406";"1";"SZZ1";"A";"2016-05-16";"2016-06-21";"4";""
"763155691605";"728481368505";"6293406";"2";"SZZ";"A";"2016-07-13";"2016-08-30";"2";""
"587865423505";"623628759005";"6293806";"1";"SZZ";"A";"2015-05-20";"2015-06-16";"1.5";""
"587865423605";"723287796105";"6293906";"1";"SZZ";"A";"2016-05-12";"2016-06-21";"1.5";""
"587865423705";"616008976305";"6294206";"1";"SZZ";"A";"2015-05-20";"2015-06-18";"1.5";""
"587865425705";"630503976705";"6294506";"1";"SZZ";"A";"2015-05-20";"2015-06-16";"1.5";""
"587864092005";"";"6294606";"1";"SZZ";"";"";"";"";""
"587865425805";"824723596805";"6294706";"1";"SZZ";"";"";"";"";""
"587865425905";"618607278905";"6295006";"1";"SZZ";"A";"2015-05-20";"2015-06-18";"1";""
"587865426005";"";"6295106";"1";"SZZ";"";"";"";"";""
"587865426105";"604422287005";"6295206";"1";"SZZ1";"A";"2015-05-20";"2015-06-18";"4";""
"674800860205";"604422287005";"6295206";"2";"SZZ";"A";"2015-08-04";"2015-08-31";"1.5";""
"587865426205";"";"6295406";"1";"SZZ";"";"";"";"";""
"587865426305";"613897254605";"6295506";"1";"SZZ";"A";"2015-05-20";"2015-06-17";"1.5";""
