semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B162,4643006,13025606,Z,1.0,2.0,1
B162,4643006,13025506,Z,1.0,1.0,1
B162,4643006,13025006,Z,,4.0,1
B162,4643006,13029906,Z,1.0,1.5,1
B162,4643006,13024706,Z,1.0,1.5,1
B172,4643006,14300906,Z,1.0,1.0,1
B172,4643006,14298706,Z,1.0,2.0,1
B172,4643006,14244906,Z,1.0,1.5,1
B172,4643006,14285906,Z,1.0,2.0,1
B172,4643006,14253006,Z,1.0,1.5,1
B172,4643006,14274706,Z,1.0,2.0,1
B172,4643006,14271606,Z,1.0,1.5,1
B172,4643006,14249606,Z,1.0,1.5,1
B172,4643006,13025106,Z,1.0,1.5,1
B172,4643006,14246406,Z,1.0,2.0,1
B172,4643006,14279206,Z,1.0,1.5,1
B172,4643006,14242506,Z,,4.0,1
B172,4643006,14245006,Z,1.0,1.5,1
B172,4643006,14795206,Z,1.0,2.0,1
B172,4643006,14260906,Z,1.0,1.5,1
B172,4643006,14302006,Z,1.0,1.5,1
B172,4643006,14306006,Z,1.0,1.5,1
B172,4643006,14311806,Z,1.0,1.5,1
B172,4643006,14793906,Z,1.0,1.5,1
B172,4643006,14300506,Z,1.0,2.0,1
B172,4643006,14309106,Z,1.0,1.5,1
B162,4643006,13024506,Z,1.0,2.5,1
B162,4643006,13022706,Z,1.0,2.0,1
B162,4643006,13500806,Z,1.0,1.5,1
B162,4643006,13500606,Z,1.0,1.5,1
B162,4643006,13500306,Z,,4.0,1
B162,4643006,13500206,Z,1.0,2.0,1
B162,4643006,13499806,Z,,4.0,1
B162,4643006,13499706,Z,1.0,1.5,1
B162,4643006,13499506,Z,1.0,2.0,1
B162,4643006,13498906,,,4.0,1
B162,4643006,13498806,Z,1.0,1.5,1
B162,4643006,13498506,Z,,4.0,1
B162,4643006,13498306,Z,,4.0,1
B162,4643006,13502706,Z,1.0,2.0,1
B162,4643006,13036606,Z,,4.0,1
B162,4643006,13036306,,,4.0,1
B162,4643006,13024606,Z,1.0,1.0,1
B162,4643006,13023206,Z,1.0,1.5,1
B162,4643006,13023106,Z,1.0,2.0,1
B162,4643006,13500906,Z,,4.0,1
B162,4643006,13024406,Z,1.0,1.5,1
B162,4643006,13501006,Z,,4.0,1
B162,4643006,13498706,Z,1.0,2.0,1
B162,4643006,13024206,Z,1.0,2.0,1
