studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
17920606,3.0,1.5,1.0,2.5,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,
16728106,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,,1.5,4.0
17903406,4.0,1.5,1.0,1.5,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,
17914906,,1.5,1.0,3.0,4.0,4.0,4.0,2.5,4.0,4.0,,,,,,,,,,
19319306,,,,,,,,,,,4.0,,,,,,4.0,,,
19319006,,,,,,,,,,,,,,,,,,,,
19318906,,,,,,4.0,,,,,4.0,,,,,,,,,
19321506,,,,,,,,,,,4.0,4.0,,,,,4.0,,,4.0
19319806,,,,,,,,,,,4.0,4.0,,,,,,,,
19319606,,,,,,,,,,,4.0,4.0,,,,,4.0,,,
19304106,,,,,,,,,,,,,4.0,,,,,,,
16756206,4.0,2.5,1.0,2.5,2.5,4.0,4.0,2.0,1.5,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,1.0
16770906,4.0,2.5,1.5,3.0,4.0,4.0,4.0,2.0,2.5,4.0,,2.5,4.0,,4.0,4.0,,,,
18593306,,2.0,,,,,,,,4.0,4.0,,4.0,,,,2.5,4.0,,
16756606,2.0,2.0,1.0,2.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,2.0,2.0,1.0,2.0,1.5,4.0,,1.5,4.0
18578806,4.0,2.0,1.5,3.0,4.0,4.0,4.0,3.0,3.0,4.0,,,4.0,,,,,,,
17951006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
16745306,3.0,1.5,1.0,2.5,2.5,2.5,4.0,2.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,
18584706,4.0,1.0,1.0,3.0,4.0,2.5,4.0,4.0,4.0,4.0,,,,,,,,,,
17903906,3.0,2.0,3.0,1.5,1.5,2.0,2.5,1.5,1.5,2.0,4.0,4.0,4.0,,,,,,,4.0
17906806,,1.5,1.0,1.5,2.5,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
17909906,4.0,1.0,1.0,1.0,,4.0,,,4.0,,,,,,,,,,,
